type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,52.21,default,default,,,,/content/cache/sample_video.wav,44100.0,0.0,52.21,,,,,,,,
Video,0.0,52.21,default,default,,,,/content/cache/sample_video.mp4,24.0,0.0,52.21,,,,,,,,
Sentence,12.212999,2.0420020000000014,default,default,,,,,,,14.255001000000002,What brings you to the land of the gatekeepers?. ,,,,,,,
Text,12.213,31.490000000000002,default,default,,,,,,,43.703,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a lone hunter. I've been alone for as long as i can remember,0.0,,english,,,,
Word,12.213,0.120000000000001,default,default,,,,,,,12.333,What,0.0,What brings you to the land of the gatekeepers?. ,english,0.0,0.0,What,
Word,12.393,0.2799999999999993,default,default,,,,,,,12.673,brings,0.0,What brings you to the land of the gatekeepers?. ,english,5.0,5.0,What brings,
Word,12.713,0.1010000000000008,default,default,,,,,,,12.814,you,0.0,What brings you to the land of the gatekeepers?. ,english,12.0,12.0,What brings you,
Word,12.854,0.1000000000000014,default,default,,,,,,,12.954,to,0.0,What brings you to the land of the gatekeepers?. ,english,16.0,16.0,What brings you to,
Word,12.974,0.08,default,default,,,,,,,13.054,the,0.0,What brings you to the land of the gatekeepers?. ,english,19.0,19.0,What brings you to the,
Word,13.114,0.2999999999999989,default,default,,,,,,,13.414,land,0.0,What brings you to the land of the gatekeepers?. ,english,23.0,23.0,What brings you to the land,
Word,13.474,0.0999999999999996,default,default,,,,,,,13.574,of,0.0,What brings you to the land of the gatekeepers?. ,english,28.0,28.0,What brings you to the land of,
Word,13.594,0.08,default,default,,,,,,,13.674,the,0.0,What brings you to the land of the gatekeepers?. ,english,31.0,31.0,What brings you to the land of the,
Word,13.714,0.5410000000000004,default,default,,,,,,,14.255,gatekeepers?,0.0,What brings you to the land of the gatekeepers?. ,english,35.0,35.0,What brings you to the land of the gatekeepers?,
Sentence,18.617998999999998,4.303002000000001,default,default,,,,,,,22.921000999999997,I'm searching for someone. ,,,,,,,
Word,18.618,0.1600000000000001,default,default,,,,,,,18.778,I'm,1.0,I'm searching for someone. ,english,0.0,49.0,What brings you to the land of the gatekeepers?. I'm,
Word,18.838,0.4609999999999985,default,default,,,,,,,19.299,searching,1.0,I'm searching for someone. ,english,4.0,53.0,What brings you to the land of the gatekeepers?. I'm searching,
Word,19.339,0.1000000000000014,default,default,,,,,,,19.439,for,1.0,I'm searching for someone. ,english,14.0,63.0,What brings you to the land of the gatekeepers?. I'm searching for,
Word,19.479,3.442,default,default,,,,,,,22.921,someone.,1.0,I'm searching for someone. ,english,18.0,67.0,What brings you to the land of the gatekeepers?. I'm searching for someone.,
Sentence,24.021998999999997,6.005002000000003,default,default,,,,,,,30.027001,A dangerous quest for a lone hunter. ,,,,,,,
Word,24.022,0.1400000000000005,default,default,,,,,,,24.162,A,2.0,A dangerous quest for a lone hunter. ,english,0.0,76.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A,
Word,24.202,0.700999999999997,default,default,,,,,,,24.903,dangerous,2.0,A dangerous quest for a lone hunter. ,english,2.0,78.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous,
Word,24.963,3.9229999999999983,default,default,,,,,,,28.886,quest,2.0,A dangerous quest for a lone hunter. ,english,12.0,88.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest,
Word,28.946,0.4809999999999981,default,default,,,,,,,29.427,for,2.0,A dangerous quest for a lone hunter. ,english,18.0,94.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for,
Word,29.447,0.0199999999999995,default,default,,,,,,,29.467,a,2.0,A dangerous quest for a lone hunter. ,english,22.0,98.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a,
Word,29.487,0.120000000000001,default,default,,,,,,,29.607,lone,2.0,A dangerous quest for a lone hunter. ,english,24.0,100.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a lone,
Word,29.647,0.3800000000000025,default,default,,,,,,,30.027,hunter.,2.0,A dangerous quest for a lone hunter. ,english,29.0,105.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a lone hunter.,
Sentence,41.774999,1.9280020000000044,default,default,,,,,,,43.70300100000001,I've been alone for as long as i can remember,,,,,,,
Word,41.775,0.081000000000003,default,default,,,,,,,41.856,I've,3.0,I've been alone for as long as i can remember,english,0.0,113.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a lone hunter. I've,
Word,41.876,0.1799999999999997,default,default,,,,,,,42.056,been,3.0,I've been alone for as long as i can remember,english,5.0,118.0,What brings you to the land of the gatekeepers?. I'm searching for someone. A dangerous quest for a lone hunter. I've been,
